gamma
ards	3	0.583	0.748	0.627	0.335	0.500	0.028	0.007	0.003	0.010	0.000	0.632	1.324	1.539	0.044	0.082	0.129
ards	3	0.554	0.735	0.612	0.262	0.500	0.050	0.022	0.019	0.096	0.000	0.701	1.391	1.624	0.034	0.008	0.023
ards	3	0.562	0.755	0.622	0.315	0.500	0.020	0.009	0.002	0.008	0.000	0.596	1.400	1.681	0.065	0.030	0.047
ards	3	0.542	0.775	0.632	0.290	0.500	0.033	0.010	0.003	0.033	0.000	0.606	1.310	1.318	0.044	0.060	0.200
ards	3	0.600	0.775	0.634	0.325	0.500	0.012	0.003	0.006	0.023	0.000	0.648	1.401	1.635	0.129	0.013	0.028
ards	3	0.592	0.764	0.626	0.296	0.500	0.014	0.009	0.004	0.012	0.000	0.667	1.386	1.624	0.028	0.009	0.017
ards	3	0.581	0.783	0.633	0.279	0.500	0.023	0.006	0.007	0.018	0.000	0.481	1.391	1.660	0.027	0.010	0.026
ards	3	0.582	0.786	0.641	0.309	0.500	0.024	0.006	0.007	0.023	0.000	0.485	1.258	2.526	0.054	0.132	1.128
ards	3	0.561	0.781	0.635	0.372	0.500	0.052	0.008	0.004	0.094	0.000	0.343	0.762	1.382	0.108	0.569	1.014
ards	3	0.603	0.786	0.641	0.328	0.500	0.013	0.002	0.006	0.008	0.000	0.313	1.187	2.258	0.051	0.288	0.669
ards	3	0.582	0.779	0.632	0.329	0.500	0.043	0.000	0.001	0.031	0.000	0.395	1.386	1.382	0.261	0.052	0.289
ards	3	0.614	0.784	0.638	0.334	0.500	0.016	0.002	0.008	0.014	0.000	0.249	1.213	1.851	0.084	0.171	0.094
